tree_id,node_id,root_distance,null_intersects,intersect_score,number_of_leaves,combinations,incomplete_combinations
1,169,0,0,incomplete,42,117,117
1,77,0.00305604470781521,0,incomplete,39,308,308
1,55,0.0123823103881764,1,incomplete,28,52,48
1,51,0.0230381211373401,0,incomplete,26,88,88
1,7,0.025453416043045,0,incomplete,4,4,4
1,3,0.0335693119875634,0,incomplete,2,1,1
1,6,0.0384882459488612,0,incomplete,2,1,1
1,50,0.0273957108592994,0,incomplete,22,105,105
1,20,0.0273974836563823,0,incomplete,7,12,12
1,12,0.0416031635883004,0,incomplete,3,2,2
1,11,0.0416049363853833,0,incomplete,2,1,1
1,19,0.0305614518932287,0,incomplete,4,3,3
1,18,0.0369948691959344,0,incomplete,3,2,2
1,16,0.0386649704688158,0,incomplete,2,1,1
1,49,0.0299134180185518,0,incomplete,15,44,44
1,27,0.0323540512387086,0,incomplete,4,3,3
1,25,0.0358989639615251,0,incomplete,3,2,2
1,23,0.0489605779170661,0,incomplete,2,1,1
1,48,0.0303535600201863,0,incomplete,11,24,20
1,42,0.0317416045824057,0,incomplete,8,16,16
1,34,0.0363542392584359,0,incomplete,4,3,3
1,33,0.0377102021909436,0,incomplete,3,2,2
1,32,0.0451487911920364,0,incomplete,2,1,1
1,41,0.0342801507406138,0,incomplete,4,4,3
1,37,0.036405294203344,0,incomplete,2,1,1
1,40,0.0447631381638592,0,incomplete,2,1,1
1,47,0.0341647039357282,0,incomplete,3,2,2
1,45,0.045060089233697,0,1,2,1,0
1,54,0.0363622785980803,0,incomplete,2,1,1
1,76,0.00451102940347366,0,incomplete,11,24,24
1,60,0.00549162578934826,0,incomplete,3,2,2
1,59,0.0125094787153821,0,incomplete,2,1,1
1,75,0.0106104983444341,0,incomplete,8,7,7
1,74,0.01191373340734,0,incomplete,7,10,10
1,70,0.0219872962122011,0,incomplete,5,6,6
1,64,0.0258920757646441,0,incomplete,2,1,1
1,69,0.0305376444744208,0,incomplete,3,2,2
1,68,0.0338409860752182,0,incomplete,2,1,1
1,73,0.0352825757081201,0,incomplete,2,1,1
1,82,0.00836601515494573,0,incomplete,3,2,2
1,81,0.0376491939471197,0,incomplete,2,1,1
1,170,0,0,incomplete,2,1,1
2,172,0,0,incomplete,42,117,117
2,161,0.00305604470781521,0,incomplete,39,308,308
2,139,0.0123823103881764,0,incomplete,28,52,48
2,135,0.0230381211373401,0,incomplete,26,88,88
2,91,0.025453416043045,0,incomplete,4,4,4
2,87,0.0362693119875634,0,incomplete,2,1,1
2,90,0.0384882459488612,0,incomplete,2,1,1
2,134,0.0273957108592994,0,incomplete,22,105,105
2,104,0.0273974836563823,0,incomplete,7,12,12
2,96,0.0416031635883004,0,incomplete,3,2,2
2,95,0.0416049363853833,0,incomplete,2,1,1
2,103,0.0305614518932287,0,incomplete,4,3,3
2,102,0.0369948691959344,0,incomplete,3,2,2
2,100,0.0386649704688158,0,incomplete,2,1,1
2,133,0.0299134180185518,0,incomplete,15,44,44
2,111,0.0323540512387086,0,incomplete,4,3,3
2,109,0.0358989639615251,0,incomplete,3,2,2
2,107,0.0489605779170661,0,incomplete,2,1,1
2,132,0.0303535600201863,0,incomplete,11,24,20
2,126,0.0317416045824057,0,incomplete,8,16,16
2,118,0.0363542392584359,0,incomplete,4,3,3
2,117,0.0377102021909436,0,incomplete,3,2,2
2,116,0.0451487911920364,0,incomplete,2,1,1
2,125,0.0342801507406138,0,incomplete,4,4,3
2,121,0.036405294203344,0,incomplete,2,1,1
2,124,0.0447631381638592,0,incomplete,2,1,1
2,131,0.0341647039357282,0,incomplete,3,2,2
2,129,0.045060089233697,0,1,2,1,0
2,138,0.0363622785980803,0,incomplete,2,1,1
2,160,0.00451102940347366,0,incomplete,11,24,24
2,144,0.00549162578934826,0,incomplete,3,2,2
2,143,0.0125094787153821,0,incomplete,2,1,1
2,159,0.0106104983444341,0,incomplete,8,7,7
2,158,0.01191373340734,0,incomplete,7,10,10
2,154,0.0219872962122011,0,incomplete,5,6,6
2,148,0.0258920757646441,0,incomplete,2,1,1
2,153,0.0305376444744208,0,incomplete,3,2,2
2,152,0.0338409860752182,0,incomplete,2,1,1
2,157,0.0352825757081201,0,incomplete,2,1,1
2,166,0.00836601515494573,0,incomplete,3,2,2
2,165,0.0376491939471197,0,incomplete,2,1,1
2,173,0,0,incomplete,2,1,1
